,smiles,max,min,median,mean,std,n
34,NC1CCCCC1,0.001909,0.001699,0.001753,0.0017702727272727273,5.031011268141358e-05,11
35,CCCCOC(C)=O,0.000686,0.0006072,0.0006453,0.0006525628571428571,2.503019988179176e-05,35
36,CCC(C)=O,0.0004011,0.0002666,0.000376,0.00036337661290322573,3.653377990314508e-05,62
37,CCCCN,0.000496,0.00044,0.000473,0.0004724727272727273,1.9937132597200295e-05,22
38,CC(C)(C)N,0.0004394,0.000439,0.0004392,0.0004392,2.0000000000000486e-07,4
39,O=C1CCCCC1,0.0021016,0.001768,0.002019,0.0019544666666666665,9.59994733781852e-05,36
40,C1CCOC1,0.000485,0.000326,0.00046,0.00045604133333333356,2.4578033064778255e-05,45
41,C1COCCO1,0.001415,0.001022,0.001159,0.0011394546391752579,6.821590953384408e-05,97
42,CC(=O)CC(C)=O,0.00067,0.00067,0.00067,0.00067,0.0,1
43,COP(C)(=O)OC,0.001587,0.001447,0.0015170000000000001,0.0015170000000000001,7.000000000000008e-05,4
44,CO[PH](=O)OC,0.001273,0.001179,0.001226,0.001226,4.700000000000006e-05,4
45,CCCCCCCCCCO,0.011825,0.009066,0.0103,0.01056568695652174,0.0009844032899280518,46
46,Cc1ccccc1Cl,0.000943,0.000885,0.000887,0.0009024285714285714,2.5672982701983174e-05,7
47,Cc1cccc(Cl)c1,0.000798,0.000746,0.00078,0.0007757142857142857,2.0126132874692925e-05,7
48,Cc1ccc(Cl)cc1,0.0009,0.000784,0.000828,0.0008462857142857142,4.9401313706402255e-05,7
49,Clc1cccc(Cl)c1,0.001025,0.000946,0.0010195,0.0010025,3.292795165205393e-05,4
50,Clc1ccccc1Cl,0.001324,0.001214,0.001302,0.001278625,4.571361257874947e-05,8
51,Clc1ccc(Cl)c(Cl)c1,0.001926,0.001613,0.0016865,0.001728,0.00012911041786006268,4
52,Cc1ccccn1,0.000751,0.000704,0.0007275000000000001,0.0007275000000000001,2.350000000000003e-05,4
53,Cc1cccc(C)n1,0.000806,0.000753,0.0007795,0.0007795,2.6499999999999994e-05,4
54,CCCCOCC,0.000399,0.0003756,0.0003868,0.000387175,1.0134810062354389e-05,8
55,COC(C)(C)C,0.000381,0.000304,0.0003327,0.00033542727272727274,2.5787561868223167e-05,11
56,CCCCO,0.002625,0.002054,0.0025306,0.002419794493670886,0.00016238265656341424,158
57,COCCOCCOCCOCCOC,0.0034,0.002967,0.00334155,0.00320751875,0.00018918025537417358,16
58,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,0.1614,0.1021,0.134575,0.137675,0.019750813274394544,10
59,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,0.10142,0.0751,0.09732,0.09177148717948715,0.009500818004922319,39
60,O=Cc1ccccc1,0.0014271,0.0013155,0.0013202,0.0013573142857142859,4.508133692311605e-05,7
61,CCCCCCC,0.000404,0.0003629,0.000383,0.00038287142857142863,1.0876730451110865e-05,49
62,CCCCCCCC,0.00053,0.000472,0.000501,0.0005001060606060605,1.6758144820191424e-05,66
63,Cc1ccccc1,0.000577,0.00052,0.00053676,0.0005425607446808509,1.6559042283910746e-05,94
64,ClC=C(Cl)Cl,0.000595,0.0005172,0.000551,0.0005590133333333333,2.1266934167596647e-05,30
65,CCOC(C)=O,0.000438,0.000379,0.0004258,0.00041575681818181823,1.650939674201102e-05,44
66,CCCOC(C)=O,0.000551,0.0004878,0.000547,0.0005317999999999999,2.7877282097486766e-05,7
67,CCO,0.001134,0.000695,0.001082,0.0010480316239316239,5.755791234427481e-05,234
68,CCCO,0.0021178,0.001513,0.0019085,0.001846551923076923,0.00012923435999761862,156
69,CC(C)O,0.002134,0.0002781,0.002029,0.0019026293103448274,0.00022072852377948168,116
70,CC(C)CO,0.00345,0.0026349,0.0030968,0.0031152915384615384,0.000280115682426427,39
71,CN1CCNCC1,0.00187,0.001544,0.0017325,0.0017237307692307693,0.0001273105100780425,26
72,CC(=O)O,0.001127,0.001034,0.0010865,0.0010774166666666666,3.884897753552284e-05,24
73,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.3599,0.1689,0.329585,0.29146875,0.06484549279585668,8
74,O,0.001,0.000728,0.000882,0.0008484722039473685,4.8484330337076126e-05,304
75,CC(C)(C)O,0.004436,0.0030986,0.003387,0.00381859375,0.0005391499402633163,16
76,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0.0887,0.06325,0.0853,0.07739660000000001,0.011423186182497422,25
77,COCCOC,0.000414,0.000392,0.000412,0.00040800000000000005,8.173126696681022e-06,5
78,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.146,0.0689,0.0990755,0.0945236346153846,0.016196507442879877,52
79,Cc1cc(C)cc(C)c1,0.000667,0.00057,0.00063,0.0006374882352941176,2.5505014094186197e-05,17
80,CN(C)C=O,0.00092,0.000715,0.0007986,0.0007887893749999999,3.347475441198498e-05,96
81,OCCCCO,0.0727454,0.055983,0.0640175,0.0642653,0.007961214946853278,8
82,CN1CCCC1=O,0.00268,0.00149,0.001564,0.0016195042857142857,0.0001821424940108425,70
83,NCCO,0.0199,0.014423,0.014865,0.015940900000000004,0.0019334362608335143,34
84,OCCNCCO,0.5672,0.3657,0.38170499999999996,0.4104325,0.07026602333572513,12
85,O=S1(=O)CCCC1,0.0119,0.0100304,0.01018,0.010310703703703704,0.00047336176556349985,27
86,CC(=O)OC(C)C,0.000481,0.000481,0.000481,0.000481,0.0,2
87,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.093053,0.06908,0.09144,0.08647774999999999,0.009020921166239065,8
88,CS(C)=O,0.002042,0.001784,0.00183935,0.0018923833333333332,9.060577152330491e-05,72
89,CC#N,0.00037,0.0002642,0.00034,0.00033543962264150946,2.0981369450265724e-05,53
90,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,0.078,0.0576,0.07192960000000001,0.06899326666666666,0.007705088148893706,12
91,CCCCCO,0.003556,0.002839,0.003347,0.003244646031746032,0.0002473344024013584,63
92,C=C(C)[C@H]1CC=C(C)CC1,0.000972,0.000793,0.00089,0.0008729888888888889,5.863693270067263e-05,9
93,C1CC[NH2+]C1.O=[N+]([O-])[O-],0.0052,0.0052,0.0052,0.0052,0.0,1
94,C1CCNC1.CC(=O)O,0.0302,0.0302,0.0302,0.0302,0.0,1
95,C1CCNC1.O=CO,0.0025,0.0025,0.0025,0.0025,0.0,1
96,CCN(C(C)C)C(C)C.O=CO,0.018,0.018,0.018,0.018,0.0,1
97,O=CO.c1ccc2ncccc2c1,0.0082,0.0082,0.0082,0.0082,0.0,1
98,Cc1cccc[n+]1C.O=C[O-],0.00261,0.00261,0.00261,0.00261,0.0,1
99,Cc1ccc[n+](C)c1C.O=C[O-],0.01,0.01,0.01,0.01,0.0,1
100,C1CCNC1.CCCCCC(=O)O,0.0274,0.0274,0.0274,0.0274,0.0,1
101,C1CCNC1.CCCCCCCC(=O)O,0.06271,0.0365,0.05021,0.054924615384615384,0.008021630963439387,13
102,C1CCNC1.CCCCCCCCC(=O)O,0.0744,0.0744,0.0744,0.0744,0.0,1
103,COP(=O)([O-])OC.Cn1cc[n+](C)c1,0.33674,0.1883,0.246635,0.24516449999999995,0.04543997298359673,20
104,COCCOCCOC,0.001011,0.000901,0.000959,0.00095675,4.137858745776611e-05,8
105,COCCOCCOCCOC,0.00196,0.00177,0.0017785,0.0018355000000000001,8.670207609971049e-05,6
106,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0516,0.03588,0.04893,0.04583511627906977,0.005019391889459076,43
107,CCCCCCCCC,0.000687,0.0006217,0.000647,0.0006506566666666665,2.2097521479920676e-05,30
108,CCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.045748,0.03568,0.043,0.04111159999999999,0.0038682950042622124,5
109,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.057806,0.046383,0.0520945,0.0520945,0.005711500000000001,2
110,CCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.082,0.064284,0.081111,0.07579833333333334,0.008149948234327766,3
111,CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.10641,0.083354,0.094882,0.094882,0.011528000000000004,2
112,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.15433,0.1011,0.125,0.125922,0.017305495543323803,5
113,COC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.04063,0.03398,0.037305000000000005,0.037305000000000005,0.003324999999999998,2
114,CCCCn1cc[n+](C)c1.[Cl-],0.02921,0.02572,0.027465,0.027464999999999996,0.0017449999999999998,4
115,CCNCC.O=S(=O)(O)O,0.0341,0.0213,0.0289,0.028839999999999998,0.004928123375078996,5
116,C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,0.0028,0.002467,0.002549,0.002633448888888889,0.00012658464822178127,45
117,CC1CCCCC1,0.0007341,0.000627,0.0006757,0.000660435294117647,2.6331108668968405e-05,68
118,CCCC[n+]1cccc(C)c1.N#CC(=C=[N-])C#N,0.05142,0.03487,0.04392,0.04340333333333333,0.006766379304243068,3
119,CCCC[N+]1(C)CCCC1.N#C[S-],0.10946,0.10946,0.10946,0.10946,0.0,1
120,CC(=O)N(C)C,0.001261,0.000862,0.00094,0.00096276,0.00011287051342135375,25
121,C[N+](=O)[O-],0.0006274,0.000584,0.000614,0.0006111285714285713,1.2719019985350871e-05,14
122,CCCCn1cc[n+](C)c1.N#C[N-]C#N,0.031802,0.02352,0.03015,0.028995999999999997,0.002931077741594843,11
123,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,0.23697,0.14468,0.18695,0.18460333333333334,0.033507748689254276,6
124,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.2794,0.2794,0.2794,0.2794,0.0,1
125,COCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3061,0.2109,0.2576,0.2582,0.03886755287726082,3
126,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1026,0.05579,0.06989,0.07609333333333333,0.019607057119539608,3
127,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.05506,0.0449,0.05219,0.050631999999999996,0.004175238436305164,5
128,CCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,0.0498,0.038921,0.0443605,0.0443605,0.0054395,2
129,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[n+]1ccccc1,0.1087,0.08319,0.095945,0.095945,0.012755000000000002,2
130,CCCCn1cc[n+](C)c1.[Cl-].[Cl-].[Cl-].[Cl-].[Fe+3],0.041,0.0339,0.03745,0.03745,0.003550000000000001,2
131,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-].[Cl-].[Cl-].[Cl-].[Fe+3],1.349,0.52,0.80945,0.871975,0.3201978324020948,4
132,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,0.0459,0.03598,0.041,0.04091433333333334,0.003324497148275044,15
133,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.000635,0.000589,0.000612,0.000612,2.3000000000000017e-05,2
134,CCOC(=O)OCC,0.000764,0.000695,0.000746,0.0007270677966101696,2.5218949296504202e-05,59
135,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Gd+3],18.39,13.01,15.7,15.7,2.6900000000000004,2
136,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-].[Cl-].[Cl-].[Cl-].[Mn+2],75.23,41.56,58.395,58.395,16.835,2
137,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-].[Cl-].[Cl-].[Cl-].[Co+2],83.45,40.25,61.85,61.85,21.6,2
138,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.06152,0.03852,0.049894999999999995,0.0526725,0.007572527236662804,8
139,CCn1cc[n+](C)c1.N#CC(=C=[N-])C#N,0.01419,0.01199,0.01288,0.013123125,0.0009466171266013517,16
140,CCn1cc[n+](C)c1.N#C[N-]C#N,0.019,0.01262,0.0145,0.014395692307692307,0.0016827943511916028,13
141,C[n+]1ccn(CCO)c1.N#C[N-]C#N,0.06867,0.0517,0.0671,0.06249,0.007656557102684381,3
142,Cn1cc[n+](C)c1.F[B-](F)(F)F,0.034,0.034,0.034,0.034,0.0,1
143,CCn1cc[n+](C)c1.F[B-](F)(F)F,0.045,0.028002,0.03617,0.03457328,0.004510059223735317,25
144,CCCCCn1cc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0759,0.0615,0.0687,0.0687,0.007199999999999998,2
145,CCCC[n+]1ccn(CCC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.093,0.0732,0.08310000000000001,0.08310000000000001,0.009899999999999999,2
146,CCCC[n+]1ccn(C2CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0851,0.0679,0.0765,0.0765,0.008599999999999997,2
147,OCCCO,0.041972,0.032777,0.036814,0.03708499999999999,0.004150235053584315,20
148,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.147,0.1104,0.1288,0.129125,0.01753708570430104,8
149,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.18911,0.1354,0.16082000000000002,0.1615375,0.023428668736187295,4
150,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.054942,0.0437,0.0492605,0.04929075,0.005338259612223817,4
151,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.07115,0.051,0.063,0.05920121052631579,0.006710645459417035,19
152,CCCCCCCCCCCCn1ccnc1,0.024,0.0201,0.02205,0.02205,0.0019500000000000003,2
153,c1cn(CCOCCOCCOCCn2ccnc2)cn1,0.5356,0.356,0.4458,0.4458,0.08979999999999999,2
154,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1054,0.0764,0.09459000000000001,0.093157,0.01145791695728329,10
155,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5389,0.3693,0.45410000000000006,0.45410000000000006,0.08480000000000001,2
156,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0339,0.0282,0.03336,0.03182,0.002569202210803969,3
157,CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0411,0.0341,0.04071,0.03863666666666666,0.003211856507103365,3
158,CC(=O)[O-].CCCCn1cc[n+](C)c1,0.4851,0.20965,0.29739,0.3259723076923077,0.0828270880211249,13
159,CN(CCO)CCO,0.07785,0.0563,0.0573,0.06345223076923077,0.009303910461189021,13
160,CN1CCCC1=O.O=CO,0.002217,0.00202,0.0021184999999999997,0.0021184999999999997,9.849999999999985e-05,2
161,CC(=O)O.CN1CCCC1=O,0.002622,0.002364,0.0024930000000000004,0.0024930000000000004,0.000129,2
162,CCC(=O)O.CN1CCCC1=O,0.002801,0.002518,0.0026595,0.0026595,0.00014150000000000013,2
163,CCCC(=O)O.CN1CCCC1=O,0.003526,0.003136,0.0033309999999999998,0.0033309999999999998,0.00019500000000000008,2
164,CCCCC(=O)O.CN1CCCC1=O,0.00391,0.003465,0.0036875000000000002,0.0036875000000000002,0.00022250000000000004,2
165,CCCCCC(=O)O.CN1CCCC1=O,0.004549,0.003998,0.0042734999999999995,0.0042734999999999995,0.00027550000000000014,2
166,CCCCn1cc[n+](C)c1.[Br-],0.363,0.363,0.363,0.363,0.0,1
167,CCCCn1cc[n+](CCCC)c1.[Br-],0.0111,0.0111,0.0111,0.0111,0.0,1
168,CC(C)Cn1cc[n+](C)c1.[Br-],0.134,0.134,0.134,0.134,0.0,1
169,CC(C)Cn1cc[n+](CC(C)C)c1.[Br-],0.0676,0.0676,0.0676,0.0676,0.0,1
170,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,3.6124,1.3632,2.16615,2.326975,0.8116629792438486,4
171,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],1.6292,0.36768,0.6506,0.8530179999999999,0.4611395170401253,5
172,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,0.3168,0.21945,0.266555,0.26734,0.04449106146182625,4
173,NCCN,0.001405,0.001211,0.0012758,0.0012884,6.7168312634919e-05,9
174,ClCCCl,0.0007902,0.0007112,0.00076785,0.00075504,2.8252546787856136e-05,10
175,CC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,0.06058,0.04877,0.054675,0.054675,0.0059050000000000005,4
176,CCCCn1cc[n+](C)c1.N#CC(=C=[N-])C#N,0.02784,0.022263,0.027318,0.02588616666666667,0.0023863665837884633,6
177,CCCC[N+]1(C)CCOCC1.N#CC(=C=[N-])C#N,0.2255,0.2255,0.2255,0.2255,0.0,1
178,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.08,0.06147,0.067,0.06988545454545454,0.007500037410375018,22
179,CCCC[P+](CCCC)(CCCC)CCCC.O=C([O-])[C@@H]1CCCN1,1.695,0.6928,1.063,1.12845,0.36132576368147346,4
180,CC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.08144,0.061,0.07118,0.0712,0.009099494491453908,4
181,Cc1ccc[n+](CC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1001,0.07634,0.08821999999999999,0.08821999999999999,0.011879999999999995,2
182,CC(C)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.06629,0.05353,0.059910000000000005,0.059910000000000005,0.006380000000000001,2
183,CC(C)C[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.12512,0.12512,0.12512,0.12512,0.0,1
184,CCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.068771,0.054952,0.0618615,0.0618615,0.006909499999999999,2
185,CCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.10502,0.08109,0.093055,0.093055,0.011965000000000003,2
186,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.10982,0.084492,0.09715599999999999,0.09715599999999999,0.012664000000000002,2
187,CCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.10878,0.083992,0.096386,0.096386,0.012394000000000002,2
188,CCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.11941,0.091773,0.1055915,0.1055915,0.013818500000000004,2
189,CCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1341,0.10247,0.118285,0.118285,0.015814999999999996,2
190,CCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.15929,0.12076,0.140025,0.140025,0.01926499999999999,2
191,CC[N+](C)(C)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.05939,0.05039,0.054889999999999994,0.054889999999999994,0.0045000000000000005,2
192,CCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.05879,0.05339,0.05609,0.05609,0.002700000000000001,2
193,CCCCNCCO.O=CO,0.3328,0.2342,0.2835,0.2835,0.0493,2
194,CC(=O)O.CCCCNCCO,0.4216,0.2954,0.3585,0.3585,0.06309999999999999,2
195,CCC(=O)O.CCCCNCCO,0.5026,0.3851,0.44385,0.44385,0.058750000000000024,2
196,CCCC(=O)O.CCCCNCCO,0.5768,0.4359,0.50635,0.50635,0.07044999999999998,2
197,CCCCC(=O)O.CCCCNCCO,0.6841,0.5058,0.5949500000000001,0.5949500000000001,0.08915000000000001,2
198,[N-]=[N+]=NCCN1CCCC1,0.0012212,0.0012212,0.0012212,0.0012212,0.0,1
199,CC12CCC(CC1)C(C)(C)O2,0.0026,0.0026,0.0026,0.0026,0.0,3
200,CCCC[n+]1ccn(C(CC)CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1182,0.08955,0.103875,0.103875,0.014324999999999997,2
201,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.446,0.446,0.446,0.446,0.0,1
202,NCCO.O=CO,0.2525,0.04051,0.09849,0.11770185714285715,0.07192328467079862,7
203,CC(=O)O.NCCO,1.974,0.22468,0.64,0.8915659999999999,0.6612119725352831,5
204,CCCC(=O)O.NCCO,1.796,1.26,1.528,1.528,0.268,2
205,NCCN1CCNCC1,0.014181,0.014181,0.014181,0.014181,0.0,1
206,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0.0057694,0.0049859,0.00537275,0.005362283333333333,0.0003401889348419332,6
207,NCc1ccccc1,0.00183,0.00143,0.00165,0.0016366666666666665,0.0001635712552851373,3
208,CC(C)=O,0.0003212,0.0002918,0.0003027,0.00030181891891891896,7.797880440979094e-06,37
209,ClC(Cl)Cl,0.0006628,0.0005033,0.000543,0.00055117875,4.0112730191767055e-05,32
210,CCCCCCCC[P+](CCCC)(CCCC)CCCC.c1ccc2[n-]nnc2c1,0.896,0.605,0.7505,0.7505,0.14550000000000002,2
211,c1ccsc1,0.000615,0.00058,0.000612,0.0005995714285714285,1.6977776590566373e-05,7
212,N#CC(=C=[N-])C#N.OCC[n+]1ccccc1,0.097484,0.071784,0.084634,0.084634,0.01285,4
213,N#CC(=C=[N-])C#N.OCCC[n+]1ccccc1,0.092543,0.069515,0.08102899999999999,0.08102899999999999,0.011514000000000003,4
214,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.42465,0.97432,1.199485,1.199485,0.225165,4
215,CCCCCCCCCCCC,0.001378,0.001219,0.001266,0.001298472,6.011277082284594e-05,25
216,COc1ccccc1,0.001017,0.000913,0.000931,0.0009593081081081079,4.009390921175191e-05,74
217,Cc1cccnc1,0.0008318,0.0008318,0.0008318,0.0008318,0.0,4
218,CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,0.07,0.053,0.0615,0.0615,0.008500000000000004,2
