,smiles,max,min,median,mean,std,n
0,CCCCCC,0.00036,0.0002774,0.000295,0.0002978237288135592,1.4477713310675796e-05,59
1,C1CCCCC1,0.000904,0.000793,0.00082948,0.0008533885333333334,3.755625457695282e-05,75
2,CCCCCCCCCC,0.000861,0.0007838,0.000845,0.000828545,2.935087690342488e-05,40
3,CCCCCCCCCCCCCCCC,0.003094,0.002706,0.00272,0.0028616185185185187,0.00016371855940638336,27
4,C1COCO1,0.05487,0.000531,0.0005882,0.01032260769230769,0.020835145151800776,39
5,OCCOCCO,0.030012,0.02187,0.0225,0.0250046,0.003300959230284434,15
6,OCCOCCOCCO,0.03727,0.027101,0.0295,0.03140099999999999,0.003709696056732051,12
7,Clc1ccccc1,0.000773,0.0007053,0.000725,0.0007337729729729727,2.1715589725065677e-05,37
8,Brc1ccccc1,0.001082,0.0009844,0.001009,0.00102011875,3.5658891225576536e-05,16
9,O=[N+]([O-])c1ccccc1,0.001815,0.0016167,0.001686,0.0016876473684210526,7.64529464402163e-05,19
10,CO,0.0008699,0.0005008,0.000543,0.0005349569343065693,3.4409953991065095e-05,137
11,CCCCCCCCO,0.00784,0.005969,0.007365,0.007014886538461539,0.0005962674471012427,52
12,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.03429,0.026,0.03179,0.03063076,0.0026481114520352047,25
13,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0715,0.055,0.0701,0.06663924137931033,0.006113271428819898,29
14,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.12018,0.07917,0.1047,0.10223333333333333,0.01321752077946373,6
15,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.2104,0.102,0.1789155,0.17020734666666662,0.031295719152729,30
16,CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.607,0.25396,0.41168,0.41309636363636365,0.09962002247382776,11
17,C=CC(=O)OC,0.0004765,0.00042,0.00045405,0.0004476875,1.957079696256643e-05,8
18,C=CC(=O)OCC,0.0005561,0.000502,0.0005253,0.0005228,1.822820616517162e-05,8
19,C=CC(=O)OCCCC,0.000838,0.000752,0.0007942,0.000801725,3.1217813424389616e-05,8
20,C=Cc1ccccc1,0.000699,0.000654,0.0006745,0.0006755,2.154646142641525e-05,8
21,c1ccccc1,0.000609,0.000539,0.000569,0.0005809432835820897,2.025802383048742e-05,67
22,CCc1ccccc1,0.000638,0.000577,0.0005986,0.0006083928571428572,1.8590741331784107e-05,28
23,Cc1ccccc1C,0.000769,0.000695,0.0007421999999999999,0.0007365026315789472,2.4905267745917637e-05,38
24,Cc1cccc(C)c1,0.0005969,0.0005471,0.000581,0.0005703638888888891,1.7227370870181133e-05,36
25,Cc1ccc(C)cc1,0.0006168,0.000566,0.0005766,0.0005905509433962264,1.983203642900356e-05,53
26,COCCO,0.001592,0.001375,0.0015218,0.0014745310344827587,7.528099134277215e-05,29
27,CC(C)CCO,0.003835,0.0022581,0.003261,0.0031811235294117645,0.0004476695755332626,17
28,CCOCCO,0.00185,0.001612,0.0016575499999999998,0.001725661111111111,0.00010375143982341696,18
29,CCCCOCCO,0.002885,0.002449,0.0027817,0.0026803879999999997,0.00015812555092710353,25
30,CCCCCl,0.000429,0.000405,0.0004214,0.0004178499999999999,8.235077413115194e-06,20
31,CC(C)(C)Cl,0.0004768,0.0004438,0.0004751,0.00046326000000000006,1.590114461288872e-05,5
32,CC(C)OC(C)C,0.00035,0.0003001,0.0003178,0.00032552500000000007,1.9699603422404216e-05,24
33,CC(C)CCl,0.0004296,0.0004112,0.0004295,0.00042122727272727277,9.15364715282093e-06,11
