property_id,batch_id,full_id,substance,box,equilibration_index,n_total_points,equilibrated_fraction,components
962e7565d9714e7fa56feb893c60fa90,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_962e7565d9714e7fa56feb893c60fa90,CCCCOC=O{solv}{x=0.935600}|ClCCCCCl{solv}{x=0.064400},CCCCOC=O{solv}{x=0.935600}|ClCCCCCl{solv}{x=0.064400} (9932cc8996394201bf9ddd96d492f22f_962e7565d9714e7fa56feb893c60fa90),11,1200,0.009166666666666667,"['CCCCOC=O', 'ClCCCCCl']"
9a0c05432ac34f679a7f8610e04b73d2,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_9a0c05432ac34f679a7f8610e04b73d2,OCc1ccccc1,OCc1ccccc1 (9932cc8996394201bf9ddd96d492f22f_9a0c05432ac34f679a7f8610e04b73d2),11,1200,0.009166666666666667,"['CCO', 'OCc1ccccc1']"
edbddefe0f174fae90d3637da89b1d49,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_edbddefe0f174fae90d3637da89b1d49,C1CCOCC1{solv}{x=0.826200}|Cc1ccncc1{solv}{x=0.173800},C1CCOCC1{solv}{x=0.826200}|Cc1ccncc1{solv}{x=0.173800} (9932cc8996394201bf9ddd96d492f22f_edbddefe0f174fae90d3637da89b1d49),11,1200,0.009166666666666667,"['C1CCOCC1', 'Cc1ccncc1']"
6223f9b4fe7b4a3dace14d5109fbb237,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_6223f9b4fe7b4a3dace14d5109fbb237,CCCOC=O,CCCOC=O (9932cc8996394201bf9ddd96d492f22f_6223f9b4fe7b4a3dace14d5109fbb237),10,1080,0.009259259259259259,"['CCCOC=O', 'ClCCCCl']"
a14e60412f4240aa859571b13bbdc667,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_a14e60412f4240aa859571b13bbdc667,CCCO,CCCO (9932cc8996394201bf9ddd96d492f22f_a14e60412f4240aa859571b13bbdc667),10,1080,0.009259259259259259,"['CCCO', 'c1ccccc1']"
b1b7c0ed16bd4abbb0998ff912bab208,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_b1b7c0ed16bd4abbb0998ff912bab208,CCCCNCCCC{solv}{x=0.501800}|CN(C)C=O{solv}{x=0.498200},CCCCNCCCC{solv}{x=0.501800}|CN(C)C=O{solv}{x=0.498200} (9932cc8996394201bf9ddd96d492f22f_b1b7c0ed16bd4abbb0998ff912bab208),10,1080,0.009259259259259259,"['CCCCNCCCC', 'CN(C)C=O']"
8e2831b2528a4814ac590edafd8cef3b,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_8e2831b2528a4814ac590edafd8cef3b,C1CCCCC1{solv}{x=0.199500}|CC(C)O{solv}{x=0.800500},C1CCCCC1{solv}{x=0.199500}|CC(C)O{solv}{x=0.800500} (9932cc8996394201bf9ddd96d492f22f_8e2831b2528a4814ac590edafd8cef3b),10,1040,0.009615384615384616,"['C1CCCCC1', 'CC(C)O']"
9ff5b45fb1664a1eb2852f574b5d1920,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_9ff5b45fb1664a1eb2852f574b5d1920,CCOC(C)(C)C,CCOC(C)(C)C (9932cc8996394201bf9ddd96d492f22f_9ff5b45fb1664a1eb2852f574b5d1920),10,1040,0.009615384615384616,"['CCOC(C)(C)C', 'Cc1ccccc1']"
a9ee02e9e4ac48839e993169225bf549,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_a9ee02e9e4ac48839e993169225bf549,C1COCO1{solv}{x=0.350000}|CCCC(C)=O{solv}{x=0.650000},C1COCO1{solv}{x=0.350000}|CCCC(C)=O{solv}{x=0.650000} (9932cc8996394201bf9ddd96d492f22f_a9ee02e9e4ac48839e993169225bf549),10,1040,0.009615384615384616,"['C1COCO1', 'CCCC(C)=O']"
ed2b6d0f35de435c8572e1955364d8cf,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_ed2b6d0f35de435c8572e1955364d8cf,CCCC(=O)OC,CCCC(=O)OC (9932cc8996394201bf9ddd96d492f22f_ed2b6d0f35de435c8572e1955364d8cf),10,1040,0.009615384615384616,"['BrCCCCCCBr', 'CCCC(=O)OC']"
