,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Density Value (g / ml),Density Uncertainty (g / ml),Source,Component 2,Role 2,Mole Fraction 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Exact Amount 1,Exact Amount 2
1,326b58fd24114952bfb364e2fb73c940,298.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,0.9893000000000002,0.001,10.1016/j.jct.2007.03.007,,,,,,,
2,4ed839edfb7a401a9c2f0a6171161e23,298.15,101.325,Liquid,1,Cc1cccc(O)c1,Solvent,1.0,1.0300000000000002,0.0009,10.1016/j.fluid.2006.12.010,,,,,,,
3,25ed9d47dcb8412bbe8318d45353f088,298.15,101.325,Liquid,1,CCCOC(C)=O,Solvent,1.0,0.8821900000000003,0.00051,10.1016/j.fluid.2018.01.026,,,,,,,
4,502d2f51d6fe4e78a9094eec23df5c2a,298.15,101.325,Liquid,1,Cc1ccccc1O,Solvent,1.0,1.0460000000000005,0.0009,10.1016/j.fluid.2006.12.010,,,,,,,
5,6b2734b0a9aa4b70abb9ff030f94881c,298.15,101.325,Liquid,1,C1CCOCC1,Solvent,1.0,0.8791600000000002,0.000885,10.1021/acs.jced.7b01091,,,,,,,
6,7c69bcd2a31f4917b1c9a938070fdf56,298.15,101.325,Liquid,1,CCOC(=O)CC(=O)OCC,Solvent,1.0,1.0496030000000005,5.3000000000000014e-05,10.1021/je9003806,,,,,,,
7,286389020ee24d0f9c33916dbb3dcd9c,298.15,101.325,Liquid,1,NCCNCCN,Solvent,1.0,0.9455480000000004,4.950000000000002e-05,10.1016/j.tca.2011.06.003,,,,,,,
8,543889fc9a954c28b78da751e7e5bdbd,298.15,101.325,Liquid,1,CCOC(C)=O,Solvent,1.0,0.8947000000000003,0.002,10.1021/je900906j,,,,,,,
9,99ccbad871f4469eb8efa572f5587587,298.15,101.325,Liquid,1,CC(=O)CC(C)C,Solvent,1.0,0.8005890000000002,0.0050015,10.1021/acs.jced.8b00120,,,,,,,
10,bc33a6a8a48d4b848c4ee6f7ef42b14a,298.15,101.325,Liquid,1,CC(=O)C(C)C,Solvent,1.0,0.7985100000000002,0.00035,10.1021/acs.jced.7b00035,,,,,,,
