,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Density Value (g / ml),Density Uncertainty (g / ml),Source,Component 2,Role 2,Mole Fraction 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol)
28,7142275724ec4ec6b1cb50926a365563,299.15,100.0,Liquid,1,O,Solvent,1.0,0.9967840000000002,1.7500000000000005e-05,10.1016/j.fluid.2017.02.002,,,,,
36,f069be854adb4ad7b82967c220b3827a,313.12,101.0,Liquid,1,O,Solvent,1.0,0.9922480000000002,2.3500000000000005e-05,10.1016/j.jct.2009.03.004,,,,,
37,21d7ec8d80b2443fb66d760c6986fe80,298.15,100.8,Liquid,1,O,Solvent,1.0,0.9970000000000002,2.5000000000000008e-05,10.1021/je800637t,,,,,
38,53ce9df20c384b4cb1e5cfade4056dd1,313.15,100.8,Liquid,1,O,Solvent,1.0,0.9921500000000002,2.5000000000000008e-05,10.1021/je800637t,,,,,
39,907ac824219747c58669a5fb60757cf6,298.0,101.325,Liquid,1,O,Solvent,1.0,0.99704,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
40,e3e75746575249128b5173adb6b19cae,296.0,101.325,Liquid,1,O,Solvent,1.0,0.9976600000000002,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
41,267b40b5b0f0468fb13aa65d27e18d27,293.0,101.325,Liquid,1,O,Solvent,1.0,0.9982000000000004,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
46,4cd221cf00d04d909e0269ff2414acba,301.0,101.325,Liquid,1,O,Solvent,1.0,0.9963700000000002,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
47,7b4b0f05ca324830948fce5813f5c559,303.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,0.9830400000000002,2.5000000000000008e-05,10.1016/j.fluid.2014.05.033,,,,,
48,baf512dbd7eb45f9b5d12e68f6586ef8,313.15,101.325,Liquid,1,COc1ccccc1,Solvent,1.0,0.9736200000000004,2.5000000000000008e-05,10.1016/j.fluid.2014.05.033,,,,,
49,7050fd0495c24165b29acc604ce4564e,303.0,101.325,Liquid,1,O,Solvent,1.0,0.9956400000000002,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
50,92e88ec115e24f15a86bcad4605d9121,291.0,101.325,Liquid,1,O,Solvent,1.0,0.9986900000000004,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
54,1c336f691ecd4c358765ca6ac33c5acd,310.15,101.0,Liquid,1,O,Solvent,1.0,0.9932550000000002,2.5000000000000008e-05,10.1016/j.jct.2012.05.033,,,,,
55,5f4295b736ff4b438758f3f06a43e891,306.0,101.325,Liquid,1,O,Solvent,1.0,0.9948700000000004,2.5000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
62,92d3c0cbfd2f443f9b587df57dea7c19,311.0,101.325,Liquid,1,O,Solvent,1.0,0.9931500000000002,3.0000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
63,080bcdad65704d3c8701e6e7952f125d,313.0,101.325,Liquid,1,O,Solvent,1.0,0.9922100000000004,3.0000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
64,5ba7001506f54497a58a2b1469aa8c8e,316.0,101.325,Liquid,1,O,Solvent,1.0,0.9912300000000004,3.0000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
65,69d0e9f4cb8445e39f5e70049bcc91eb,318.0,101.325,Liquid,1,O,Solvent,1.0,0.9902100000000004,3.0000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
68,1ee97a9dac44421097f3db882dad3f35,308.0,101.325,Liquid,1,O,Solvent,1.0,0.9940200000000002,3.0000000000000008e-05,10.1016/j.fluid.2017.12.001,,,,,
86,23a47c5839ba413e9bf634b9d79b6c4a,315.15,101.0,Liquid,1,O,Solvent,1.0,0.9912400000000002,3.500000000000001e-05,10.1016/j.jct.2011.01.014,,,,,
91,a6f97cfbdf6444b784b943270251ec00,293.15,101.0,Liquid,1,Cc1cccc(O)c1,Solvent,1.0,1.033994,3.850000000000001e-05,10.1016/j.jct.2010.10.025,,,,,
102,081b7706b6ea4a5da57a171669623d51,288.2,101.325,Liquid,1,CCCOC(C)=O,Solvent,1.0,0.8943250000000003,4.1000000000000014e-05,10.1016/j.fluid.2012.07.032,,,,,
103,32fc470504f447178943521888e3baa5,293.15,101.0,Liquid,1,Cc1ccccc1O,Solvent,1.0,1.0456880000000004,4.1000000000000014e-05,10.1016/j.jct.2010.10.025,,,,,
105,4f00f99ad3e144a9861576e214ac0354,293.14,101.325,Liquid,1,O,Solvent,1.0,0.9981810000000004,4.150000000000001e-05,10.1021/je030102f,,,,,
106,392430c288f441d89f0cf03b3f50236c,303.14,101.325,Liquid,1,O,Solvent,1.0,0.9956170000000002,4.150000000000001e-05,10.1021/je030102f,,,,,
108,50c1d846378f4505b806ca99856c43a9,318.14,101.325,Liquid,1,O,Solvent,1.0,0.9901300000000002,4.200000000000001e-05,10.1021/je030102f,,,,,
112,82ee616dbeb74489bbddbac395a3be3a,303.2,101.325,Liquid,1,CCCOC(C)=O,Solvent,1.0,0.8775290000000002,4.450000000000001e-05,10.1016/j.fluid.2012.07.032,,,,,
115,e207b34333b04884b543dca4cfdf1055,298.15,101.3,Liquid,1,C1CCOCC1,Solvent,1.0,0.8790300000000002,4.500000000000001e-05,10.1021/je201140q,,,,,
129,489fa32d6b444d328ef7b62cdc645963,313.15,101.325,Liquid,1,CCOC(=O)CC(=O)OCC,Solvent,1.0,1.0334980000000002,4.650000000000001e-05,10.1021/je9003806,,,,,
136,286389020ee24d0f9c33916dbb3dcd9c,298.15,101.325,Liquid,1,NCCNCCN,Solvent,1.0,0.9455480000000004,4.950000000000002e-05,10.1016/j.tca.2011.06.003,,,,,
214,1d89bd6651514ece8a3bfa0dbefb490f,308.0,101.0,Liquid,1,O,Solvent,1.0,0.9941440000000002,5.250000000000001e-05,10.1016/j.jct.2012.11.032,,,,,
216,7c69bcd2a31f4917b1c9a938070fdf56,298.15,101.325,Liquid,1,CCOC(=O)CC(=O)OCC,Solvent,1.0,1.0496030000000005,5.3000000000000014e-05,10.1021/je9003806,,,,,
241,f91e0ac201244d31bf8499e2fea7d9ab,288.2,101.325,Liquid,1,CCOC(C)=O,Solvent,1.0,0.9068900000000002,5.5000000000000016e-05,10.1016/j.fluid.2012.07.032,,,,,
274,bca4b8e2c9c5471abac5c85e81f0fa81,298.15,101.0,Liquid,1,CC(=O)CC(C)C,Solvent,1.0,0.7962300000000002,5.5000000000000016e-05,10.1016/j.fluid.2013.07.054,,,,,
275,fc373eb017be478e9d235103a211688a,298.15,101.0,Liquid,1,CC(=O)C(C)C,Solvent,1.0,0.8006300000000002,5.5000000000000016e-05,10.1016/j.fluid.2013.07.054,,,,,
276,7f6b40580d9741669fe07ebff71077c5,308.15,101.325,Liquid,1,COC(C)=O,Solvent,1.0,0.9136800000000002,5.5000000000000016e-05,10.1021/je9005618,,,,,
278,9f719636a8d4411da1a924d2c58cb647,297.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8103700000000001,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
279,8b7f85a3a07741eab430fcbbaadc0e20,295.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8123600000000002,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
280,aabdd83d3f6342f09447383592252d27,293.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8143400000000002,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
281,5dd3016aabd94ee58d850362d544cd09,291.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8163300000000002,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
282,910683baf7e144348b13112b3535cff3,289.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8183100000000001,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
286,c4b00f9b5927483ba877ae407e37cc71,301.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8064000000000001,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
287,92f05b60a67844c9a2501ce5964f0e1c,299.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8083900000000002,5.5000000000000016e-05,10.1016/j.jct.2007.01.008,,,,,
291,8989e70231164db49826be42c4c5539a,298.15,101.33,Liquid,1,c1cc[nH]c1,Solvent,1.0,0.9655400000000002,5.5000000000000016e-05,10.1016/j.fluid.2013.10.029,,,,,
292,e4287f9d2565486d9405c6b1feb61d9d,298.15,101.33,Liquid,1,c1ccncc1,Solvent,1.0,0.9780100000000004,5.5000000000000016e-05,10.1016/j.fluid.2013.10.029,,,,,
293,72b24f6c2f6e47c58b53f7e1ab627b0d,308.15,101.33,Liquid,1,c1cc[nH]c1,Solvent,1.0,0.9568300000000004,5.5000000000000016e-05,10.1016/j.fluid.2013.10.029,,,,,
295,c2d1ab4aac424166a7925caf69a27446,308.15,101.33,Liquid,1,c1ccncc1,Solvent,1.0,0.9679100000000002,5.5000000000000016e-05,10.1016/j.fluid.2013.10.029,,,,,
303,0ad0b84c22074f9a923094e6a0aa3af0,308.15,101.0,Liquid,1,CCOCCO,Solvent,1.0,0.9164800000000002,5.5000000000000016e-05,10.1016/j.fluid.2012.08.030,,,,,
328,285cead5a64b400c82d15231a61ae4a7,293.15,101.0,Liquid,1,CN(C)CCO,Solvent,1.0,0.8865600000000001,5.7500000000000015e-05,10.1021/je400679k,,,,,
336,545c3ba205c345a1b906521621f0f2a0,303.2,101.325,Liquid,1,CCOC(C)=O,Solvent,1.0,0.8881960000000002,5.850000000000002e-05,10.1016/j.fluid.2012.07.032,,,,,
338,8c76c6da66c147a19873606f9174c71d,303.15,101.0,Liquid,1,CN(C)CCO,Solvent,1.0,0.8780590000000001,5.900000000000001e-05,10.1021/je400679k,,,,,
339,80934f5a6f224eb18dcfe325fa020f98,313.15,101.3,Liquid,1,CS(C)=O,Solvent,1.0,1.0803270000000005,5.900000000000001e-05,10.1016/j.fluid.2014.09.022,,,,,
342,c0cac28c48cb47618bcbe5bb026b63bb,308.15,101.3,Liquid,1,CS(C)=O,Solvent,1.0,1.0853480000000002,5.950000000000001e-05,10.1016/j.fluid.2014.09.022,,,,,
343,609e8e0234a64b53866e974686d9018c,313.15,101.0,Liquid,1,CN(C)CCO,Solvent,1.0,0.8694280000000002,6.0000000000000015e-05,10.1021/je400679k,,,,,
345,dbad71f58d334f158cba7c9f1976c779,303.15,101.3,Liquid,1,CS(C)=O,Solvent,1.0,1.0903670000000003,6.0000000000000015e-05,10.1016/j.fluid.2014.09.022,,,,,
381,248463825a254991b809d283fada0d63,313.15,101.0,Liquid,1,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,1.0,0.9280400000000002,6.0000000000000015e-05,10.1016/j.jct.2013.09.024,,,,,
382,3bc2b2f8f5b341ebb50ba78e5f1881f3,298.15,101.0,Liquid,1,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,1.0,0.9406700000000002,6.0000000000000015e-05,10.1016/j.jct.2013.09.024,,,,,
413,9ce434ff4103429581025820226c4e92,308.15,101.325,Liquid,1,C1COCO1,Solvent,1.0,1.0464000000000004,6.0000000000000015e-05,10.1016/j.tca.2006.05.010,,,,,
415,f7b120cf8ea64324b32017c039a45b4a,305.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8024300000000001,6.0000000000000015e-05,10.1016/j.jct.2007.01.008,,,,,
416,30e17694df3f405cb2d9d33ba18a9416,307.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.8004500000000002,6.0000000000000015e-05,10.1016/j.jct.2007.01.008,,,,,
423,0dc7090bf2ad41aea71263e95e660238,317.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.7905200000000002,6.0000000000000015e-05,10.1016/j.jct.2007.01.008,,,,,
424,63f44fe8352d44898a02833df63eab85,315.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.7925100000000002,6.0000000000000015e-05,10.1016/j.jct.2007.01.008,,,,,
425,e16f6d8b6b2645b6be06bc65187f9790,311.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.7964800000000002,6.0000000000000015e-05,10.1016/j.jct.2007.01.008,,,,,
426,313ac20619fb47b3b2c82faf9b888d34,309.15,101.325,Liquid,1,CCC(=O)CC,Solvent,1.0,0.7984600000000003,6.0000000000000015e-05,10.1016/j.jct.2007.01.008,,,,,
430,5a3bd908789146fdb93329a859bf1475,308.15,101.3,Liquid,1,CO,Solvent,1.0,0.7779410000000002,6.0500000000000014e-05,10.1016/j.jct.2012.08.030,,,,,
435,506977b32741481d83c0f697f0ebda39,293.15,101.3,Liquid,1,CS(C)=O,Solvent,1.0,1.100407,6.100000000000001e-05,10.1016/j.fluid.2014.09.022,,,,,
446,e6ff380226b24ee391a9149951744569,293.1,101.325,Liquid,1,Cc1ccccc1C,Solvent,1.0,0.8798000000000001,6.500000000000002e-05,10.1021/je049701s,,,,,
449,a622bea76b9a427b8d144e41863ab4ff,313.15,101.325,Liquid,1,CC(C)=O,Solvent,1.0,0.7669500000000002,6.500000000000002e-05,10.1016/j.fluid.2018.10.024,,,,,
450,9fe4497cf98843a28962172bcc05c193,293.2,101.325,Liquid,1,CC(C)O,Solvent,1.0,0.7854200000000001,6.500000000000002e-05,10.1021/je300347z,,,,,
454,62a527d2477049f697a4e651559356d1,308.15,101.3,Liquid,1,Cc1cccc(O)c1,Solvent,1.0,1.0220200000000002,6.500000000000002e-05,10.1021/je049540s,,,,,
455,b3f5f1dcf4624e3289c86d0bcc673ffe,308.15,101.0,Liquid,1,CN1CCNCC1,Solvent,1.0,0.8905000000000002,6.500000000000002e-05,10.1016/j.tca.2012.06.011,,,,,
463,9803647503be480b84904d4fc5513195,293.14,101.0,Liquid,1,CCO,Solvent,1.0,0.7899380000000001,6.500000000000002e-05,10.1016/j.tca.2012.01.007,,,,,
524,a59f3ff4c93343f6a2ac4ea27d57641f,303.14,101.0,Liquid,1,CCO,Solvent,1.0,0.7813320000000001,6.650000000000002e-05,10.1016/j.tca.2012.01.007,,,,,
528,c6bc4e628d674dbf9e38d3c7d5853cd4,313.16,101.0,Liquid,1,CCO,Solvent,1.0,0.7725770000000002,6.850000000000003e-05,10.1016/j.tca.2012.01.007,,,,,
529,745e0d8002d541d7a341491f010a012e,288.2,101.325,Liquid,1,CCCCO,Solvent,1.0,0.8138200000000002,6.900000000000002e-05,10.1016/j.fluid.2012.07.032,,,,,
534,58c9861f933a4774892073f73b8d2287,298.15,101.15,Liquid,1,O,Solvent,1.0,0.99704,7.000000000000002e-05,10.1021/je034073k,,,,,
551,9402cfe6555e4128bfcecededbe9afbb,298.15,101.325,Liquid,1,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,1.0,0.9406700000000002,7.000000000000002e-05,10.1016/j.jct.2015.04.034,,,,,
580,02cafef2a7e7452a8b18f92de296c7cf,303.2,101.325,Liquid,1,CCCCO,Solvent,1.0,0.8024070000000002,7.1e-05,10.1016/j.fluid.2012.07.032,,,,,
584,5ba04444549e4ae2be22686873c920c5,313.14,101.325,Liquid,1,CC(C)=O,Solvent,1.0,0.7672050000000002,7.150000000000002e-05,10.1021/je030102f,,,,,
585,f265337b42424ca291b320fc2f65b676,318.14,101.325,Liquid,1,CC(C)=O,Solvent,1.0,0.7612880000000002,7.150000000000002e-05,10.1021/je030102f,,,,,
590,63648ed296ef4abbb0874d1f9bbdc92b,303.14,101.325,Liquid,1,CC(C)=O,Solvent,1.0,0.7788760000000001,7.200000000000002e-05,10.1021/je030102f,,,,,
622,fc658193a698451696a6ed0f3f9ed518,313.15,101.325,Liquid,1,Cc1ccccc1Cl,Solvent,1.0,1.0640100000000003,7.500000000000002e-05,10.1016/j.fluid.2014.01.019,,,,,
633,87602f9f570e4ddda1c14f3ffc5f3344,298.0,101.325,Liquid,1,CC(C)O,Solvent,1.0,0.7808800000000001,7.500000000000002e-05,10.1016/j.fluid.2009.09.015,,,,,
648,3f3f90509bb14881b719a2bccf1917dc,293.15,101.325,Liquid,1,CCCCOCCO,Solvent,1.0,0.9006400000000002,7.500000000000002e-05,10.1016/j.fluid.2015.04.019,,,,,
659,04d53f39f01443928236b4dfd243e608,313.15,101.15,Liquid,1,O,Solvent,1.0,0.9922100000000004,7.500000000000002e-05,10.1021/je034073k,,,,,
784,102c5251c8f143818e32def9672e5555,298.1,101.325,Liquid,1,Cc1ccccc1,Solvent,1.0,0.8622000000000003,8.000000000000002e-05,10.1021/je800071q,,,,,
787,8b1f211c4f7545bebf586e2e929dc5c7,303.0,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,0.7691300000000002,8.000000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
788,5d5663f708054d38b1cb7ab58ef4d098,313.0,101.0,Liquid,1,C1CCCCC1,Solvent,1.0,0.7596000000000002,8.000000000000002e-05,10.1016/j.fluid.2011.01.018,,,,,
789,e6330eae85b547bfada5b0dccd00b308,313.14,101.0,Liquid,1,CO,Solvent,1.0,0.7723100000000002,8.000000000000002e-05,10.1007/s10765-011-1149-x,,,,,
